seID,SrcIp,DstIp,SrcPort,DstPort,timestamp,ActualUlVolume,ActualDlVolume,ActualTotalVolume,ActualUlPacket,ActualDlPacket,ActualTotalPacket
1,201392386,2170660915,0,0,2024-10-04 19:20:23,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:24,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:24,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:24,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:24,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:25,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:25,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:25,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:25,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:26,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:26,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:26,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:26,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:27,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:27,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:27,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:27,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:28,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:28,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:28,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:28,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:29,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:29,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:29,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:29,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:30,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:30,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:30,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:30,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:31,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:31,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:31,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:31,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:32,0,0,0,0,0,0
1,201392386,1145490689,38555,47873,2024-10-04 19:20:32,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:32,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:32,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:33,0,0,0,0,0,0
